position_x,position_y,time
0,0,1.255035
0,0,1.271965
0,0,1.263035
0,0,1.262011
0,0,1.304001
0,0,1.280001
0,0,1.284021
0,0,1.281014
0,0,1.286008
0,0,1.268552
0,0,1.287041
0,0,1.281008
0,0,1.277997
0,0,1.274053
0,0,1.261037
0,0,1.277001
0,0,1.294038
0,0,1.260979
0,0,1.288993
0,0,1.271007
0,0,1.273037
0,0,1.272981
0,0,1.270039
0,0,1.286032
0,0,1.260966
0,0,1.268002
0,0,1.278023
0,0,1.278034
0,0,1.293011
0,0,1.26903
0,0,1.281007
0,0,1.296046
0,0,1.27495
0,0,1.285041
0,0,1.286991
0,0,1.276987
0,0,1.275024
0,0,1.289007
0,0,1.273051
0,0,1.262063
0,0,1.278033
0,0,1.286033
0,0,1.270007
0,0,1.292012
0,0,1.275017
0,0,1.260077
0,0,1.260995
0,0,1.258259
0,0,1.259964
0,0,1.273078
0,0,1.289046
0,0,1.279008
0,0,1.283018
0,0,1.263995
0,0,1.277073
0,0,1.28414
0,0,1.259971
0,0,1.265
0,0,1.264999
0,0,1.268017
0,0,1.260046
0,0,1.282029
0,0,1.278015
0,0,1.28901
0,0,1.275344
0,0,1.302195
0,0,1.288149
0,0,1.287968
0,0,1.274043
0,0,1.272
0,0,1.284004
0,0,1.256009
0,0,1.275043
0,0,1.269047
0,0,1.259007
0,0,1.266037
0,0,1.293973
0,0,1.281003
0,0,1.293012
0,0,1.26305
0,0,1.296036
0,0,1.29498
0,0,1.266024
0,0,1.280002
0,0,1.291005
0,0,1.272055
0,0,1.291001
0,0,1.285014
0,0,1.277998
0,0,1.280969
0,0,1.266968
0,0,1.26101
0,0,1.270965
0,0,1.269044
0,0,1.26601
0,0,1.269045
0,0,1.263124
0,0,1.274002
0,0,1.266
0,0,1.261035
