position_x,position_y,time
0,0,0.001998
0,0,0.002998
0,0,0.001999
0,0,0.002999
0,0,0.002
0,0,0.002002
0,0,0.00198
0,0,0.003
0,0,0.001999
0,0,0.003001
0,0,0.002
0,0,0.002
0,0,0.002002
0,0,0.001998
0,0,0.002002
0,0,0.001999
0,0,0.003
0,0,0.002
0,0,0.002001
0,0,0.003
0,0,0.002001
0,0,0.002
0,0,0.002001
0,0,0.002001
0,0,0.001998
0,0,0.003001
0,0,0.002
0,0,0.001998
0,0,0.004009
0,0,0.002993
0,0,0.002999
0,0,0.002001
0,0,0.001999
0,0,0.003
0,0,0.002
0,0,0.001998
0,0,0.002001
0,0,0.002001
0,0,0.002
0,0,0.002
0,0,0.001999
0,0,0.002998
0,0,0.002002
0,0,0.001998
0,0,0.003
0,0,0.001998
0,0,0.003003
0,0,0.002
0,0,0.002002
0,0,0.002999
0,0,0.001999
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.001998
0,0,0.002001
0,0,0.001998
0,0,0.002
0,0,0.003
0,0,0.002001
0,0,0.002999
0,0,0.002999
0,0,0.002001
0,0,0.003
0,0,0.002
0,0,0.002001
0,0,0.001999
0,0,0.003001
0,0,0.002
0,0,0.002999
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.003
0,0,0.002001
0,0,0.002003
0,0,0.002997
0,0,0.002997
0,0,0.002002
0,0,0.003001
0,0,0.003002
0,0,0.004008
0,0,0.002995
0,0,0.001998
0,0,0.004003
0,0,0.003003
0,0,0.002995
0,0,0.001996
0,0,0.002
0,0,0.001995
0,0,0.003001
0,0,0.003999
0,0,0.003998
0,0,0.002001
0,0,0.002001
0,0,0.003001
0,0,0.002998
0,0,0.003996
0,0,0.002
0,0,0.00199
0,0,0.00298
0,0,0.002008
0,0,0.002002
0,0,0.001995
0,0,0.002001
0,0,0.002003
0,0,0.001997
0,0,0.002001
0,0,0.001958
0,0,0.001999
0,0,0.003
0,0,0.001998
0,0,0.002001
0,0,0.001999
0,0,0.002
0,0,0.001999
0,0,0.002001
0,0,0.001996
0,0,0.003002
0,0,0.002
0,0,0.003
0,0,0.002
0,0,0.001998
0,0,0.002
0,0,0.001997
0,0,0.002001
0,0,0.001999
0,0,0.002
0,0,0.003001
0,0,0.001999
0,0,0.002999
0,0,0.002001
0,0,0.001999
0,0,0.002
0,0,0.002
0,0,0.001999
0,0,0.002
0,0,0.002001
0,0,0.002
0,0,0.001999
0,0,0.003001
0,0,0.002
0,0,0.001994
0,0,0.002005
0,0,0.003
0,0,0.002003
0,0,0.002001
0,0,0.002995
0,0,0.002004
0,0,0.002002
0,0,0.001992
0,0,0.001998
0,0,0.001998
0,0,0.002998
0,0,0.002
0,0,0.001998
0,0,0.002004
0,0,0.001997
0,0,0.002999
0,0,0.003003
0,0,0.003002
0,0,0.002997
0,0,0.004
0,0,0.001996
0,0,0.002003
0,0,0.001999
0,0,0.002
0,0,0.003001
0,0,0.001994
0,0,0.001995
0,0,0.002008
0,0,0.002013
0,0,0.001999
0,0,0.002006
0,0,0.002
0,0,0.00196
0,0,0.002999
0,0,0.001999
0,0,0.002
0,0,0.002998
0,0,0.002
0,0,0.001964
0,0,0.002003
0,0,0.001998
0,0,0.002
0,0,0.001995
0,0,0.001999
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002999
0,0,0.002001
0,0,0.001998
0,0,0.002001
0,0,0.002
0,0,0.002001
0,0,0.002002
0,0,0.002
0,0,0.001998
0,0,0.002002
0,0,0.002
0,0,0.002001
0,0,0.001999
0,0,0.001999
0,0,0.002002
0,0,0.001996
0,0,0.001999
0,0,0.002001
0,0,0.001998
0,0,0.002001
0,0,0.001998
0,0,0.002001
0,0,0.001999
0,0,0.002001
0,0,0.001999
0,0,0.002
0,0,0.001998
0,0,0.003001
0,0,0.001997
0,0,0.002001
0,0,0.002999
0,0,0.003001
0,0,0.003002
0,0,0.001992
0,0,0.002
0,0,0.003003
0,0,0.002996
0,0,0.003001
0,0,0.003007
0,0,0.002997
0,0,0.002998
0,0,0.002998
0,0,0.002002
0,0,0.001994
0,0,0.003001
0,0,0.003021
0,0,0.001977
0,0,0.001997
0,0,0.002004
0,0,0.001996
0,0,0.001999
0,0,0.001995
