position_x,position_y,time,steps
7,0,0.003001,64
7,0,0.001999,64
7,0,0.002002,64
7,0,0.002,64
7,0,0.002031,64
7,0,0.002996,64
7,0,0.001999,64
7,0,0.004028,64
7,0,0.003002,64
7,0,0.002,64
7,0,0.002003,64
7,0,0.003,64
7,0,0.003,64
7,0,0.001999,64
7,0,0.002001,64
7,0,0.001991,64
7,0,0.003,64
7,0,0.001999,64
7,0,0.001999,64
7,0,0.002001,64
7,0,0.001999,64
7,0,0.002,64
7,0,0.001998,64
7,0,0.001995,64
7,0,0.002,64
7,0,0.001999,64
7,0,0.001999,64
7,0,0.002999,64
7,0,0.001998,64
7,0,0.003,123
7,0,0.003002,64
7,0,0.002,64
7,0,0.001998,64
7,0,0.002,64
7,0,0.001999,64
7,0,0.001998,64
7,0,0.001998,64
7,0,0.001999,64
7,0,0.001999,64
7,0,0.003,64
7,0,0.003001,64
7,0,0.003,64
7,0,0.002,64
7,0,0.002998,64
7,0,0.001998,64
7,0,0.002,64
7,0,0.002001,64
7,0,0.001996,64
7,0,0.004004,64
7,0,0.001996,64
7,0,0.003,64
7,0,0.002998,64
7,0,0.002999,64
7,0,0.002,64
7,0,0.001999,64
7,0,0.002017,64
7,0,0.001999,64
7,0,0.002999,64
7,0,0.001998,64
7,0,0.001999,64
7,0,0.001996,64
7,0,0.001999,64
7,0,0.001999,64
7,0,0.002,64
7,0,0.003,64
7,0,0.002,64
7,0,0.003,64
7,0,0.001999,64
7,0,0.002,64
7,0,0.001998,64
7,0,0.002998,64
7,0,0.001999,64
7,0,0.002,123
7,0,0.001999,64
7,0,0.002999,64
7,0,0.002999,64
7,0,0.003999,64
7,0,0.003,64
7,0,0.003001,64
7,0,0.002993,64
7,0,0.002001,64
7,0,0.001998,64
7,0,0.002,64
7,0,0.003003,64
7,0,0.003001,64
7,0,0.001997,64
7,0,0.003,64
7,0,0.002002,64
7,0,0.002988,64
7,0,0.002,64
7,0,0.002999,64
7,0,0.001997,64
7,0,0.001999,64
7,0,0.003001,64
7,0,0.003,64
7,0,0.002997,64
7,0,0.004003,64
7,0,0.002998,64
7,0,0.002999,64
7,0,0.002998,64
7,0,0.001999,64
7,0,0.003,64
7,0,0.002,64
7,0,0.003001,64
7,0,0.001999,64
7,0,0.003999,64
7,0,0.004999,64
7,0,0.001999,64
7,0,0.005,64
7,0,0.002999,64
7,0,0.001999,64
7,0,0.002999,64
7,0,0.003998,64
7,0,0.003,64
7,0,0.004995,64
7,0,0.005003,64
7,0,0.002999,64
7,0,0.004002,64
7,0,0.002001,64
7,0,0.003997,64
7,0,0.002997,64
7,0,0.003003,64
7,0,0.003014,64
7,0,0.003,64
7,0,0.004,64
7,0,0.002987,64
7,0,0.003999,64
7,0,0.001998,64
7,0,0.002997,64
7,0,0.002998,64
7,0,0.002998,64
7,0,0.001998,64
7,0,0.001998,64
7,0,0.001998,64
7,0,0.002998,64
7,0,0.003,64
7,0,0.003,64
7,0,0.001998,64
7,0,0.002,64
7,0,0.001999,64
7,0,0.003,64
7,0,0.002998,64
7,0,0.002999,64
7,0,0.001999,64
7,0,0.002,64
7,0,0.001998,64
7,0,0.001993,64
7,0,0.002998,64
7,0,0.001999,125
7,0,0.004001,64
7,0,0.002999,64
7,0,0.001998,64
7,0,0.001997,64
7,0,0.001998,64
7,0,0.002998,64
7,0,0.002995,64
7,0,0.002999,64
7,0,0.002002,64
7,0,0.002,64
7,0,0.002999,64
7,0,0.004999,64
7,0,0.001999,64
7,0,0.003,64
7,0,0.002,64
7,0,0.002998,64
7,0,0.001998,64
7,0,0.001998,64
7,0,0.001998,64
7,0,0.001998,64
7,0,0.001998,64
7,0,0.002998,64
7,0,0.002999,64
7,0,0.002999,64
7,0,0.002998,64
7,0,0.002999,64
7,0,0.002999,64
7,0,0.002002,64
7,0,0.001998,64
7,0,0.003,64
7,0,0.003,64
7,0,0.002,64
7,0,0.003,64
7,0,0.003,64
7,0,0.006002,64
7,0,0.004002,64
7,0,0.002998,64
7,0,0.004,64
7,0,0.005,64
7,0,0.004999,64
7,0,0.005997,64
7,0,0.005001,64
7,0,0.002991,64
7,0,0.004999,64
7,0,0.001999,64
7,0,0.001999,64
7,0,0.003003,64
7,0,0.002999,64
7,0,0.002999,64
7,0,0.003999,64
7,0,0.001992,64
7,0,0.002999,64
7,0,0.003,64
7,0,0.002999,64
7,0,0.002,64
7,0,0.003,64
7,0,0.003,64
7,0,0.001997,64
7,0,0.002001,64
7,0,0.003005,64
7,0,0.002998,64
7,0,0.003002,64
7,0,0.004011,64
7,0,0.002999,64
7,0,0.003001,64
7,0,0.001997,64
7,0,0.003,64
7,0,0.004004,64
7,0,0.003003,64
7,0,0.005,64
7,0,0.002998,64
7,0,0.002999,64
7,0,0.003006,64
7,0,0.001999,64
7,0,0.002,64
7,0,0.003002,64
7,0,0.003,64
7,0,0.001999,64
7,0,0.002996,64
7,0,0.003,64
7,0,0.002998,64
7,0,0.002999,64
7,0,0.003,64
7,0,0.004999,64
7,0,0.003001,64
7,0,0.002999,64
7,0,0.003,64
7,0,0.001998,64
7,0,0.001999,64
7,0,0.001999,64
7,0,0.002998,64
7,0,0.004001,64
7,0,0.003002,64
7,0,0.003003,64
7,0,0.003999,64
7,0,0.002998,64
7,0,0.004999,64
7,0,0.001998,64
7,0,0.003001,64
7,0,0.005001,64
7,0,0.005996,64
7,0,0.002996,64
7,0,0.002999,64
7,0,0.004004,64
7,0,0.002999,64
7,0,0.001999,64
7,0,0.004001,64
7,0,0.002998,64
7,0,0.002999,64
7,0,0.002998,64
7,0,0.002998,64
7,0,0.003,64
7,0,0.002999,64
7,0,0.002999,64
7,0,0.002001,64
7,0,0.002,64
7,0,0.002999,64
7,0,0.002999,64
7,0,0.003,64
7,0,0.002999,64
7,0,0.003998,64
7,0,0.003,64
7,0,0.003,64
7,0,0.003003,64
7,0,0.003001,64
7,0,0.002999,64
7,0,0.002997,64
7,0,0.002996,64
7,0,0.005001,64
7,0,0.003,64
7,0,0.004,64
7,0,0.005004,64
7,0,0.005003,64
7,0,0.002997,64
7,0,0.002999,64
7,0,0.002991,64
7,0,0.003998,64
7,0,0.002998,64
7,0,0.001999,64
7,0,0.001999,64
7,0,0.003004,64
7,0,0.001999,64
7,0,0.001999,64
7,0,0.003001,64
7,0,0.003,64
7,0,0.003,64
7,0,0.004,64
7,0,0.001997,64
7,0,0.003,64
7,0,0.003,64
7,0,0.001999,64
7,0,0.002999,64
7,0,0.003,64
7,0,0.002998,64
7,0,0.003,64
7,0,0.004003,64
7,0,0.003,64
