position_x,position_y,time,steps
5,7,0.004,64
1,4,0.005,64
7,1,0.002008,64
6,7,0.002004,64
5,3,0.003996,64
7,3,0.002001,64
4,1,0.003,64
3,3,0.003002,64
1,4,0.004,64
1,7,0.002003,64
7,3,0.001999,64
5,0,0.001987,64
7,2,0.002999,64
6,2,0.002001,64
2,3,0.003001,64
7,6,0.003025,64
1,2,0.001996,64
1,4,0.002004,64
5,1,0.003,64
6,7,0.002001,64
