position_x,position_y,time,steps
7,0,18.906619,6484066
7,0,34.200852,6484066
7,0,38.176151,6484066
7,0,38.335948,6484066
7,0,41.359977,6484066
7,0,39.271202,6484066
7,0,39.437001,6484066
7,0,39.344583,6484066
7,0,38.505407,6484066
7,0,38.887711,6484066
7,0,42.214264,6484066
7,0,40.237006,6484066
7,0,40.018752,6484066
7,0,39.622605,6484066
7,0,40.463103,6484066
7,0,39.007499,6484066
7,0,39.797642,6484066
7,0,39.564238,6484066
7,0,39.238225,6484066
7,0,42.029598,6484066
7,0,40.755492,6484066
7,0,40.651131,6484066
7,0,38.951273,6484066
7,0,37.656801,6484066
7,0,39.349759,6484066
7,0,38.355812,6484066
7,0,39.755019,6484066
7,0,39.637738,6484066
7,0,41.936378,6484066
7,0,40.133281,6484066
7,0,38.86197,6484066
7,0,40.647754,6484066
7,0,39.822152,6484066
7,0,37.181244,6484066
7,0,22.932443,6484066
7,0,21.908635,6484066
7,0,19.831219,6484066
7,0,22.939011,6484066
7,0,20.435173,6484066
7,0,20.622666,6484066
7,0,20.811919,6484066
7,0,19.775014,6484066
7,0,19.81476,6484066
7,0,21.188246,6484066
7,0,23.339765,6484066
7,0,25.252051,6484066
7,0,21.932944,6484066
7,0,20.776676,6484066
7,0,20.275038,6484066
7,0,19.754672,6484066
7,0,20.250419,6484066
7,0,20.918987,6484066
7,0,20.30807,6484066
7,0,19.491321,6484066
7,0,20.781448,6484066
7,0,22.644578,6484066
7,0,23.613728,6484066
7,0,36.152713,6484066
7,0,27.753327,6484066
7,0,26.389454,6484066
7,0,26.108927,6484066
7,0,29.540148,6484066
7,0,36.785291,6484066
7,0,26.725321,6484066
7,0,47.250668,6484066
7,0,38.738853,6484066
7,0,51.677952,6484066
7,0,60.016588,6484066
7,0,56.667992,6484066
7,0,66.349409,6484066
7,0,35.403581,6484066
7,0,37.84505,6484066
7,0,36.428999,6484066
7,0,32.672858,6484066
7,0,27.055002,6484066
7,0,31.224165,6484066
7,0,26.202001,6484066
7,0,28.976011,6484066
7,0,37.397059,6484066
7,0,26.143713,6484066
7,0,36.333001,6484066
7,0,30.827998,6484066
7,0,26.410996,6484066
7,0,24.713501,6484066
7,0,30.192028,6484066
7,0,25.457477,6484066
7,0,36.371092,6484066
7,0,32.986002,6484066
7,0,40.286512,6484066
7,0,36.757999,6484066
7,0,35.544483,6484066
7,0,29.572046,6484066
7,0,28.876996,6484066
7,0,37.260034,6484066
7,0,28.49431,6484066
7,0,40.050549,6484066
7,0,39.588311,6484066
7,0,36.277999,6484066
7,0,30.144005,6484066
7,0,40.344167,6484066
7,0,37.919001,6484066
7,0,38.461604,6484066
7,0,38.555995,6484066
7,0,38.504513,6484066
7,0,36.811,6484066
7,0,39.242,6484066
7,0,41.661572,6484066
7,0,41.582,6484066
7,0,42.358048,6484066
7,0,48.557001,6484066
7,0,41.717999,6484066
7,0,44.567722,6484066
7,0,40.93903,6484066
7,0,41.064995,6484066
7,0,42.111996,6484066
7,0,44.647521,6484066
7,0,42.457522,6484066
7,0,43.256517,6484066
7,0,43.477521,6484066
7,0,42.033999,6484066
7,0,33.191029,6484066
7,0,42.134517,6484066
7,0,46.369448,6484066
7,0,42.650133,6484066
7,0,42.969019,6484066
7,0,37.204996,6484066
7,0,47.079999,6484066
7,0,41.570001,6484066
7,0,42.661999,6484066
7,0,43.456521,6484066
7,0,42.021732,6484066
7,0,50.403971,6484066
7,0,40.049981,6484066
7,0,28.075001,6484066
7,0,29.667101,6484066
7,0,41.19229,6484066
7,0,34.265998,6484066
7,0,44.842266,6484066
7,0,37.674003,6484066
7,0,44.936816,6484066
7,0,39.359999,6484066
7,0,26.298047,6484066
7,0,44.325561,6484066
7,0,41.863404,6484066
7,0,44.078998,6484066
7,0,45.740871,6484066
7,0,48.938002,6484066
7,0,42.721348,6484066
7,0,48.998518,6484066
7,0,42.94419,6484066
7,0,49.574526,6484066
7,0,42.065946,6484066
7,0,41.218998,6484066
7,0,45.090519,6484066
7,0,43.878998,6484066
7,0,28.98804,6484066
7,0,41.473526,6484066
7,0,49.321342,6484066
7,0,49.25859,6484066
7,0,37.203611,6484066
7,0,36.309259,6484066
7,0,46.406518,6484066
7,0,42.544423,6484066
7,0,46.550081,6484066
7,0,50.013636,6484066
7,0,34.063259,6484066
7,0,31.0881,6484066
7,0,36.336769,6484066
7,0,29.376739,6484066
7,0,37.391741,6484066
7,0,45.518189,6484066
7,0,37.212245,6484066
7,0,46.985723,6484066
7,0,49.170791,6484066
7,0,45.914504,6484066
7,0,45.259612,6484066
7,0,52.475612,6484066
7,0,30.059005,6484066
7,0,40.906319,6484066
7,0,40.605536,6484066
7,0,29.767989,6484066
7,0,31.666996,6484066
7,0,31.976139,6484066
7,0,38.571998,6484066
7,0,32.892998,6484066
7,0,32.34,6484066
7,0,33.887706,6484066
7,0,28.202626,6484066
7,0,24.371028,6484066
7,0,27.876859,6484066
7,0,32.595,6484066
7,0,32.209859,6484066
7,0,32.674997,6484066
7,0,32.971026,6484066
7,0,33.133997,6484066
7,0,33.181995,6484066
7,0,34.507001,6484066
7,0,33.645001,6484066
7,0,32.778982,6484066
7,0,33.675999,6484066
7,0,33.591001,6484066
7,0,29.77998,6484066
7,0,34.773999,6484066
7,0,29.478998,6484066
7,0,29.782001,6484066
7,0,31.674607,6484066
7,0,32.364077,6484066
7,0,33.113995,6484066
7,0,33.339004,6484066
7,0,32.945,6484066
7,0,34.127999,6484066
7,0,33.102999,6484066
7,0,33.776997,6484066
7,0,31.978077,6484066
7,0,33.406186,6484066
7,0,31.408001,6484066
7,0,41.762002,6484066
7,0,42.031,6484066
7,0,33.167001,6484066
7,0,35.703036,6484066
7,0,28.923036,6484066
7,0,35.231229,6484066
7,0,40.252995,6484066
7,0,42.822984,6484066
7,0,35.466368,6484066
7,0,37.544,6484066
7,0,37.430042,6484066
7,0,28.455036,6484066
7,0,25.884019,6484066
7,0,25.966032,6484066
7,0,23.465035,6484066
7,0,24.014031,6484066
7,0,23.211033,6484066
7,0,23.150999,6484066
7,0,23.562033,6484066
7,0,22.934031,6484066
7,0,22.955031,6484066
7,0,20.568753,6484066
7,0,21.310594,6484066
7,0,21.491001,6484066
7,0,22.377001,6484066
7,0,21.650001,6484066
7,0,21.668999,6484066
7,0,21.810034,6484066
7,0,21.700002,6484066
7,0,21.421036,6484066
7,0,21.759628,6484066
7,0,23.149001,6484066
7,0,19.519933,6484066
7,0,19.634,6484066
7,0,19.421998,6484066
7,0,19.24185,6484066
7,0,19.174994,6484066
7,0,19.366999,6484066
7,0,21.256114,6484066
7,0,19.962001,6484066
7,0,20.198036,6484066
7,0,19.428033,6484066
