position_x,position_y,time,steps
5,1,0.002004,64
4,2,0.002322,64
0,4,0.002996,64
6,5,0.003002,64
5,1,0.001997,64
5,7,0.002,64
4,4,0.004099,64
3,0,0.003,64
7,0,0.003078,64
2,7,0.002998,64
1,0,0.003003,64
3,5,0.003,64
6,3,0.003022,64
1,4,0.002,64
4,5,0.003035,64
0,5,0.002512,64
5,4,0.002654,64
7,2,0.002999,64
4,0,0.002,64
7,7,0.002055,64
3,5,0.002042,64
1,3,0.001999,64
5,6,0.002999,64
1,0,0.001998,64
6,7,0.001998,64
2,7,0.003116,64
6,7,0.003002,64
5,4,0.001995,64
7,1,0.002069,64
7,3,0.002,64
0,6,0.001997,64
3,5,0.00212,64
3,7,0.003004,64
2,0,0.004001,64
1,4,0.002997,64
5,5,0.003004,64
5,2,0.003005,125
5,7,0.002119,64
4,2,0.002266,64
4,7,0.002531,64
1,1,0.002423,64
3,0,0.002003,64
2,5,0.002001,64
5,4,0.002999,64
0,5,0.001604,64
6,5,0.0028,64
6,7,0.002016,64
1,1,0.002095,64
7,1,0.002351,64
3,3,0.002016,64
7,3,0.001756,64
7,7,0.002043,64
0,4,0.002981,64
6,4,0.003,64
4,0,0.00277,64
4,6,0.002064,64
3,4,0.003046,64
6,6,0.003035,64
7,2,0.00306,64
1,7,0.003273,64
6,0,0.002999,64
5,6,0.002092,64
0,1,0.002,64
0,0,0.003038,64
2,0,0.002933,64
2,6,0.002,64
4,4,0.001998,64
7,7,0.004048,64
4,3,0.002573,64
2,7,0.002991,64
2,4,0.002104,123
6,0,0.003917,64
0,0,0.004,64
7,6,0.003665,64
4,2,0.004003,64
7,4,0.003753,64
5,2,0.004056,64
5,0,0.001997,64
3,7,0.002784,64
0,5,0.002313,64
2,4,0.003004,64
2,1,0.001952,64
5,5,0.002999,64
3,3,0.003,64
1,3,0.002064,64
1,3,0.003083,64
4,5,0.002621,64
0,6,0.003002,64
1,4,0.001575,64
1,0,0.001999,64
0,1,0.001999,64
3,2,0.001996,64
2,5,0.002001,64
0,1,0.007028,64
6,5,0.002144,64
1,3,0.001955,64
6,6,0.003046,64
5,2,0.001964,64
4,7,0.001756,64
6,3,0.003,64
1,2,0.003004,64
1,4,0.002999,64
0,5,0.002007,64
0,7,0.002999,64
7,2,0.001997,64
2,6,0.002096,64
6,4,0.002571,64
7,4,0.003838,64
3,4,0.004185,64
2,3,0.003157,64
0,5,0.002402,64
0,3,0.002999,64
4,2,0.002,64
2,6,0.002928,64
3,3,0.003028,64
2,5,0.002999,64
3,6,0.001999,64
4,7,0.001885,64
4,1,0.00239,64
4,0,0.003002,64
5,1,0.001999,64
2,0,0.002004,64
4,1,0.003838,64
1,0,0.002997,64
6,1,0.002998,64
0,2,0.003928,64
0,7,0.003996,64
5,1,0.003,64
2,3,0.003997,64
1,2,0.003238,64
1,3,0.004,64
5,5,0.004005,64
4,3,0.003994,64
1,1,0.003,64
1,7,0.003999,64
6,2,0.004,64
4,5,0.003998,64
4,0,0.002998,64
2,6,0.004066,64
7,0,0.003996,64
7,7,0.004,64
7,7,0.004019,64
3,5,0.003665,64
5,0,0.004002,64
4,7,0.004001,64
7,5,0.004287,64
7,3,0.002997,64
4,0,0.003997,64
6,6,0.002997,64
7,3,0.004041,64
5,0,0.004001,64
3,3,0.004001,64
2,4,0.003999,64
1,5,0.003037,64
1,4,0.003075,64
4,7,0.003999,64
5,2,0.003001,121
1,2,0.005004,64
5,0,0.006036,64
1,5,0.004003,64
4,6,0.003999,64
4,0,0.002948,64
3,5,0.004069,64
5,3,0.003994,64
6,6,0.004999,64
2,7,0.004058,64
3,5,0.004003,64
3,5,0.004002,64
7,4,0.005,64
5,3,0.003005,64
6,3,0.003999,64
5,2,0.004016,64
4,6,0.004188,64
3,2,0.004075,64
7,4,0.003998,64
3,7,0.00397,64
5,5,0.003968,64
2,5,0.003999,64
7,3,0.004003,64
2,1,0.003101,64
4,5,0.004074,64
3,3,0.003042,64
4,0,0.004082,64
3,4,0.004073,64
0,3,0.002931,64
0,3,0.003,64
3,2,0.003462,64
1,7,0.002937,64
5,5,0.003995,64
2,2,0.004135,64
0,1,0.004091,64
0,4,0.00409,64
0,0,0.003997,64
3,5,0.00391,64
7,5,0.003999,64
7,3,0.004996,64
5,1,0.003999,64
3,5,0.004002,64
0,3,0.003999,64
1,3,0.004085,64
3,0,0.002873,64
7,7,0.003999,64
2,3,0.003001,64
1,7,0.004088,64
6,0,0.002998,64
6,6,0.003997,64
7,2,0.003549,64
7,2,0.004052,64
1,2,0.003031,64
4,6,0.004278,64
4,0,0.004002,64
2,6,0.004728,64
6,1,0.003033,64
5,7,0.004002,64
2,5,0.004058,64
6,6,0.004001,64
3,0,0.003367,64
6,0,0.004004,64
5,6,0.004056,64
5,2,0.003999,119
2,1,0.002994,64
2,5,0.004002,64
5,0,0.003113,64
3,0,0.004002,64
1,4,0.002994,64
1,0,0.004001,64
4,5,0.003995,64
2,4,0.004,64
4,4,0.003997,64
4,7,0.002989,64
0,3,0.003044,64
1,7,0.003092,64
2,2,0.003075,64
5,5,0.003998,64
1,0,0.004001,64
4,1,0.003003,64
1,0,0.004005,64
7,5,0.004001,64
0,0,0.003,64
2,0,0.00435,64
6,2,0.003756,64
4,0,0.004004,64
0,3,0.004996,64
6,7,0.00409,64
5,7,0.004099,64
2,2,0.00404,64
3,2,0.00611,64
6,0,0.004001,64
7,7,0.00298,64
4,4,0.003524,64
0,0,0.002997,64
5,4,0.004,64
3,3,0.001952,64
5,3,0.003003,64
3,3,0.002998,64
5,6,0.003033,64
5,6,0.003085,64
2,1,0.002448,64
6,3,0.015999,64
2,5,0.003001,64
7,5,0.002998,64
1,6,0.003069,64
1,5,0.002177,64
0,5,0.002,64
3,0,0.003002,64
1,7,0.003001,64
5,4,0.003285,64
3,2,0.004097,64
7,7,0.003001,64
7,7,0.002998,64
7,6,0.004001,64
7,0,0.002,64
1,3,0.002999,64
7,5,0.001892,64
3,3,0.002721,64
1,3,0.002047,64
3,7,0.002947,64
1,0,0.001999,64
7,3,0.001687,64
5,3,0.002049,64
2,7,0.002983,64
2,3,0.001998,64
4,1,0.003068,64
1,2,0.002001,64
0,7,0.002042,64
3,6,0.001993,64
4,3,0.002999,64
3,2,0.002056,64
6,0,0.001999,64
3,7,0.002048,64
5,1,0.002959,64
0,2,0.003023,64
5,6,0.002808,64
6,2,0.001998,64
6,7,0.001999,64
4,6,0.003006,64
3,1,0.003078,64
3,0,0.001998,64
1,2,0.002346,64
6,5,0.001998,64
5,7,0.002993,64
0,3,0.003047,64
2,2,0.001998,64
5,7,0.002997,64
2,3,0.003001,64
2,5,0.001922,64
4,0,0.002999,64
7,0,0.002079,64
1,4,0.001981,64
1,6,0.002998,64
3,5,0.001999,64
7,2,0.002999,64
1,7,0.004995,64
2,1,0.003076,64
5,6,0.002999,64
5,1,0.002106,64
1,3,0.003,64
3,0,0.002,64
5,6,0.002996,64
2,7,0.002,64
2,0,0.001999,64
0,2,0.003053,64
3,5,0.002073,64
3,1,0.002,64
5,5,0.002999,64
3,6,0.002998,64
6,6,0.002,64
5,3,0.003,64
3,1,0.002938,64
2,2,0.003001,64
6,4,0.002065,64
7,7,0.00203,64
0,1,0.002999,64
6,5,0.002132,64
0,4,0.002,64
6,5,0.00224,64
2,0,0.00205,64
6,4,0.002588,64
3,4,0.002619,64
0,5,0.002001,64
3,0,0.003062,64
0,7,0.003038,64
1,5,0.00208,64
4,6,0.001999,64
5,5,0.003104,64
1,2,0.002587,64
0,7,0.003071,64
2,5,0.003002,64
5,1,0.002997,64
6,1,0.002997,123
3,0,0.003184,64
1,2,0.003031,64
4,1,0.003338,64
3,4,0.001992,64
4,0,0.001882,64
7,2,0.001998,64
6,6,0.002999,64
1,3,0.002027,64
0,1,0.001999,64
0,4,0.002998,64
1,6,0.003072,64
4,4,0.002001,64
3,3,0.001998,64
5,6,0.003036,64
6,0,0.002002,64
5,1,0.002,64
6,3,0.001689,64
6,7,0.001999,64
6,3,0.00198,64
0,5,0.003098,64
7,0,0.002029,64
2,2,0.001997,64
1,4,0.002003,64
3,1,0.00256,64
2,4,0.00266,64
6,2,0.002095,64
6,5,0.001995,64
5,4,0.001998,64
5,7,0.002999,64
1,6,0.003005,64
4,7,0.003,64
5,3,0.00209,64
5,3,0.001982,64
0,7,0.001998,64
5,7,0.001925,64
1,5,0.002304,64
7,7,0.001998,64
5,5,0.002036,123
3,5,0.001977,64
5,2,0.002027,64
1,1,0.002079,64
6,3,0.002276,64
3,3,0.002294,64
0,0,0.002036,64
6,3,0.003,64
7,4,0.001996,64
6,1,0.002035,64
0,4,0.003036,64
4,1,0.002,64
